Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC005_CreateCAR,Chrome 98.0.4758.102,,,2022-03-02 09:52:51,2022-03-02 09:58:15,5m - 23.341s,ERROR
,,,,,,,
Test Cases/MajorFuntionalScreen/HappyPath/ContractActionRequest/TC005_CreateCAR,Chrome 98.0.4758.102,,,2022-03-02 09:52:53,2022-03-02 09:58:15,5m - 22.062s,ERROR
Start listener action : initEnvironment,Chrome 98.0.4758.102,,,2022-03-02 09:52:53,2022-03-02 09:52:53,0.007s,PASSED
"""Step 1:""",Chrome 98.0.4758.102,,,2022-03-02 09:52:53,2022-03-02 09:52:53,0.001s,PASSED
Browser.start(URL),Chrome 98.0.4758.102,Enter the Application URL in browser.,,2022-03-02 09:52:53,2022-03-02 09:52:59,5.340s,PASSED
"""ER:""",Chrome 98.0.4758.102,,,2022-03-02 09:52:59,2022-03-02 09:52:59,0.001s,PASSED
LoginPageSteps.verifyPageIsLoaded(),Chrome 98.0.4758.102,System should display CMS Login page.,,2022-03-02 09:52:59,2022-03-02 09:52:59,0.189s,PASSED
"""Step 2:""",Chrome 98.0.4758.102,,,2022-03-02 09:52:59,2022-03-02 09:52:59,0.001s,PASSED
"LoginPageSteps.login(APPROVER_MAIL_USER1, COMMON_PW, ORG_AUTOMATION, ROLE_SYSTEM_ADMIN)",Chrome 98.0.4758.102,Enter the Username and Password and Click on Login button.,,2022-03-02 09:52:59,2022-03-02 09:53:11,11.669s,PASSED
"""ER:""",Chrome 98.0.4758.102,,,2022-03-02 09:53:11,2022-03-02 09:53:11,0.000s,PASSED
HeaderPageSteps.verifyPageIsLoaded(),Chrome 98.0.4758.102,System should allow the user logged successfully,,2022-03-02 09:53:11,2022-03-02 09:53:12,1.647s,PASSED
"""Step 3: Prepare Data""",Chrome 98.0.4758.102,,,2022-03-02 09:53:12,2022-03-02 09:53:12,0.001s,PASSED
